STATION,STATION_NAME,DATE,DLY-PRCP-NORMAL,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100101,0.12,0.12,0.12,201,139,80,39,51.5,23.1,63.1,40,4,8.6,5.8,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100102,0.12,0.24,0.24,201,140,80,39,51.6,23.1,63.1,40,4,8.6,5.8,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100103,0.12,0.36,0.36,201,140,81,39,51.6,23.2,63.2,40,4.1,8.7,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100104,0.11,0.47,0.47,200,140,81,39,51.6,23.2,63.2,40.1,4.1,8.7,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100105,0.11,0.58,0.58,199,141,81,39,51.7,23.2,63.3,40.1,4.1,8.7,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100106,0.12,0.7,0.7,198,140,81,40,51.7,23.2,63.3,40.1,4.1,8.7,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100107,0.11,0.81,0.81,197,140,81,40,51.7,23.2,63.3,40.2,4.1,8.6,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100108,0.12,0.93,0.93,196,140,81,39,51.8,23.2,63.4,40.2,4.1,8.6,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100109,0.12,1.05,1.05,195,139,80,39,51.8,23.2,63.4,40.2,4.1,8.6,5.8,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100110,0.12,1.17,1.17,194,139,80,39,51.9,23.2,63.4,40.3,4.1,8.6,5.9,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100111,0.13,1.3,1.3,193,138,80,39,51.9,23.1,63.5,40.3,4.1,8.6,5.9,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100112,0.12,1.42,1.42,192,138,80,38,51.9,23.1,63.5,40.4,4.1,8.6,5.9,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100113,0.12,1.54,1.54,191,138,79,38,52,23.1,63.5,40.4,4.1,8.6,5.9,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100114,0.13,1.67,1.67,190,138,79,37,52,23.1,63.5,40.5,4.2,8.5,5.9,6.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100115,0.12,1.79,1.79,190,138,79,37,52,23.1,63.6,40.5,4.2,8.5,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100116,0.12,1.91,1.91,190,138,79,37,52.1,23,63.6,40.6,4.2,8.5,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100117,0.12,2.03,2.03,190,139,80,37,52.1,23,63.6,40.6,4.2,8.4,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100118,0.11,2.14,2.14,190,140,80,37,52.2,22.9,63.6,40.7,4.2,8.4,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100119,0.11,2.25,2.25,191,140,80,37,52.2,22.9,63.6,40.8,4.3,8.4,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100120,0.11,2.36,2.36,192,141,80,37,52.2,22.8,63.6,40.8,4.3,8.3,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100121,0.1,2.46,2.46,193,142,81,37,52.3,22.7,63.7,40.9,4.3,8.3,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100122,0.1,2.56,2.56,194,144,81,37,52.3,22.7,63.7,41,4.3,8.3,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100123,0.1,2.66,2.66,195,145,81,37,52.4,22.6,63.7,41.1,4.3,8.2,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100124,0.1,2.76,2.76,196,145,81,37,52.4,22.5,63.7,41.2,4.3,8.2,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100125,0.1,2.86,2.86,196,146,81,37,52.5,22.4,63.7,41.2,4.3,8.2,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100126,0.1,2.96,2.96,197,146,81,37,52.5,22.3,63.7,41.3,4.3,8.2,6,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100127,0.1,3.06,3.06,198,147,81,37,52.5,22.2,63.6,41.4,4.3,8.2,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100128,0.1,3.16,3.16,198,148,81,37,52.6,22.1,63.6,41.5,4.3,8.1,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100129,0.11,3.27,3.27,199,148,81,36,52.6,22,63.6,41.6,4.3,8.1,5.9,6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100130,0.11,3.38,3.38,200,149,81,36,52.7,21.9,63.6,41.8,4.3,8.1,5.9,5.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100131,0.12,3.5,3.5,201,150,81,36,52.7,21.7,63.6,41.9,4.3,8.1,5.9,5.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100201,0.14,0.14,3.64,203,151,81,36,52.8,21.6,63.6,42,4.3,8.1,5.9,5.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100202,0.13,0.27,3.77,206,153,81,36,52.8,21.5,63.6,42.1,4.3,8.1,5.9,5.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100203,0.14,0.41,3.91,209,155,82,36,52.9,21.4,63.6,42.2,4.3,8.1,5.9,5.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100204,0.14,0.55,4.05,212,158,83,37,53,21.2,63.6,42.3,4.3,8,5.9,5.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100205,0.15,0.7,4.2,215,160,84,37,53,21.1,63.6,42.5,4.3,8,6,5.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100206,0.14,0.84,4.34,219,163,85,38,53.1,21,63.6,42.6,4.3,8,6,5.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100207,0.14,0.98,4.48,222,165,86,38,53.1,20.8,63.6,42.7,4.3,8,6,5.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100208,0.12,1.1,4.6,226,168,87,39,53.2,20.7,63.6,42.9,4.3,8,6,5.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100209,0.13,1.23,4.73,228,170,87,39,53.3,20.5,63.6,43,4.3,8,6,5.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100210,0.13,1.36,4.86,230,171,88,39,53.3,20.4,63.6,43.1,4.3,8,6,5.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100211,0.13,1.49,4.99,231,172,88,40,53.4,20.3,63.6,43.3,4.3,8,6,5.7
